id_date,dn,date_debut,type_even,nombre_even,even_minutes,direction_appel,termination_type,type_reseau,type_destination,operator,country,profile_id,city,gamme,marche,segment,billing_type,contract_id,date_fin
20220122,212514364473,2022-01-22 01:19:38,sms,1,,IN,on-net,mobile,national,ORANGE,Morocco,5556,Fes,Forfaits 99 dhs,B2C,Mobile Prepaid,Prepaid,ABC397414,2022-01-22 01:20:38
20230228,212567688948,2023-02-28 11:34:56,sms,7,,IN,on-net,fix,national,ORANGE,Morocco,4893,Fes,ADSL,B2C,Mobile Prepaid,Autres,ABC975090,2023-02-28 11:36:56
20220407,212557309187,2022-04-07 23:09:16,voice,4,49,OUT,off-net,fix,international,International,USA,7300,international city,Fibre optique,Autres,Mobile Prepaid,Postpaid,ABC793630,2022-04-07 23:58:16
20220912,212524331530,2022-09-12 07:04:49,sms,7,,IN,on-net,mobile,international,International,USA,1419,international city,Forfaits 49 dhs,B2C,Mobile Prepaid,Autres,ABC920599,2022-09-12 07:53:49
20221118,212542080968,2022-11-18 21:53:10,voice,5,19,IN,off-net,mobile,national,ORANGE,Morocco,8092,Rabat,MRE,Autres,Home,Autres,ABC735137,2022-11-18 22:12:10
20220919,212653868377,2022-09-19 22:16:16,voice,7,41,IN,on-net,fix,national,INWI,Morocco,7522,Fes,Forfaits 199 dhs,B2B,Mobile Postpaid,Postpaid,ABC946539,2022-09-19 22:57:16
20220323,212653203097,2022-03-23 02:39:13,voice,5,48,OUT,on-net,mobile,international,International,France,1228,international city,Forfaits 49 dhs,B2B,Mobile Postpaid,Postpaid,ABC146990,2022-03-23 03:27:13
20220208,212546583407,2022-02-08 19:32:29,voice,2,57,IN,on-net,fix,international,International,Spain,4764,international city,Data Prepaid,B2C,Mobile Prepaid,Autres,ABC296484,2022-02-08 20:29:29
20220403,212526309824,2022-04-03 00:40:16,sms,7,,IN,on-net,fix,international,International,Spain,5805,international city,Fibre optique,B2B,Mobile Postpaid,Postpaid,ABC938833,2022-04-03 01:32:16
20221218,212674228997,2022-12-18 04:57:01,sms,10,,OUT,on-net,fix,international,International,France,8640,international city,Forfaits 49 dhs,B2C,Mobile Prepaid,Prepaid,ABC518880,2022-12-18 05:31:01
20220821,212652400175,2022-08-21 14:26:32,voice,3,18,IN,on-net,mobile,national,ORANGE,Morocco,6934,Marrakech,MRE,B2C,Mobile Postpaid,Postpaid,ABC540274,2022-08-21 14:44:32
20220622,212670629976,2022-06-22 14:30:55,sms,2,,IN,on-net,fix,international,International,France,5285,international city,Forfaits 49 dhs,Autres,Home,Autres,ABC452112,2022-06-22 14:36:55
20221211,212518655072,2022-12-11 19:43:26,voice,2,25,IN,off-net,mobile,national,IAM,Morocco,8660,Tangier,Forfaits 199 dhs,B2B,Mobile Postpaid,Postpaid,ABC540560,2022-12-11 20:08:26
20221228,212616184801,2022-12-28 16:49:24,sms,7,,IN,off-net,mobile,international,International,France,4192,international city,Data Prepaid,B2B,Mobile Postpaid,Postpaid,ABC333441,2022-12-28 17:04:24
20230210,212519868685,2023-02-10 23:39:39,sms,7,,OUT,on-net,fix,international,International,France,4898,international city,Forfaits 249 dhs,Autres,Home,Autres,ABC278745,2023-02-11 00:24:39
20221009,212630195636,2022-10-09 15:10:35,voice,8,57,IN,off-net,mobile,international,International,France,2879,international city,Data Prepaid,B2C,Mobile Postpaid,Autres,ABC362876,2022-10-09 16:07:35
20220719,212692926430,2022-07-19 20:39:28,voice,10,15,OUT,off-net,mobile,international,International,France,3053,international city,Forfaits 49 dhs,B2B,Mobile Postpaid,Postpaid,ABC529771,2022-07-19 20:54:28
